level_0,level_1,level_2,incorr4_data
3,1,2,-6.675708672787377e-06
3,1,3,-7.180663776714931e-06
3,1,4,-6.021978423326885e-06
3,1,5,-2.257032826473028e-06
3,1,6,2.9309564051989483e-06
3,1,7,6.763512747796441e-06
3,1,8,7.207253036616414e-06
3,1,9,4.746489937830565e-06
3,1,10,2.1914631687695255e-06
3,1,11,2.363349848311485e-06
3,1,12,5.987118218484232e-06
3,1,13,1.136272493219338e-05
3,1,14,1.6161473708770774e-05
3,1,15,1.919650996070742e-05
3,1,16,2.085861082536892e-05
3,1,17,2.1883787447717594e-05
3,1,18,2.2435003818441234e-05
3,1,19,2.221688806821611e-05
3,1,20,2.1529772814341225e-05
3,1,21,2.1438628347141713e-05
3,1,22,2.2764277285177662e-05
3,1,23,2.4643223517845916e-05
3,1,24,2.482162127005489e-05
4,0,0,-1.2192358735555538e-06
4,0,1,-1.4704650530730751e-06
4,0,2,-1.491406714590273e-06
4,0,3,-1.3317067185368456e-06
4,0,4,-1.0423454269382885e-06
4,0,5,-6.547177788223925e-07
4,0,6,-5.141358164324639e-07
4,0,7,-1.1426574189693373e-06
4,0,8,-2.9075161797998084e-06
4,0,9,-5.371940358612728e-06
4,0,10,-7.462556934357536e-06
4,0,11,-8.08406924302234e-06
4,0,12,-7.146252862261649e-06
4,0,13,-5.555788166953818e-06
4,0,14,-4.556552516673542e-06
4,0,15,-4.510693974137402e-06
4,0,16,-4.762599635824182e-06
4,0,17,-4.206041256940606e-06
4,0,18,-2.490138686697202e-06
4,0,19,-1.7609712848313876e-07
4,0,20,1.6996073353278609e-06
4,0,21,2.697844542309653e-06
4,0,22,3.0762108966888614e-06
4,0,23,3.4943005241535674e-06
4,0,24,4.165863782194275e-06
4,1,0,-2.2797736504360827e-05
4,1,1,-1.574721560064279e-05
4,1,2,-6.5534289273013e-06
4,1,3,-6.220773322566991e-07
4,1,4,-1.0068251108312528e-06
4,1,5,-5.841765683464007e-06
4,1,6,-9.98503834452537e-06
4,1,7,-9.130138777971471e-06
4,1,8,-3.4960496643900814e-06
4,1,9,2.605412048694298e-06
4,1,10,4.275159944922252e-06
4,1,11,1.919493598915308e-07
4,1,12,-6.58247964370034e-06
4,1,13,-1.083933327899252e-05
4,1,14,-9.101656313870567e-06
4,1,15,-1.4336997296502305e-06
4,1,16,8.874037435263951e-06
4,1,17,1.773112334422578e-05
4,1,18,2.2035104085283037e-05
4,1,19,2.0846352291797876e-05
4,1,20,1.506272260193113e-05
4,1,21,7.084760833164837e-06
4,1,22,-3.389192493640193e-07
4,1,23,-4.899571358941626e-06
4,1,24,-5.972493179663913e-06
5,0,0,-2.1922949562563736e-05
5,0,1,-1.996470703225146e-05
5,0,2,-1.716878203414428e-05
5,0,3,-1.3922923452003647e-05
5,0,4,-1.053875546191827e-05
5,0,5,-7.3442207579571105e-06
5,0,6,-4.681063070797369e-06
5,0,7,-2.7366615948608004e-06
5,0,8,-1.3011669773898752e-06
5,0,9,1.5283109405935157e-07
5,0,10,2.0648547741353287e-06
5,0,11,4.282351865333159e-06
5,0,12,6.0633258720750106e-06
5,0,13,6.591817607841529e-06
5,0,14,5.6843426983798685e-06
5,0,15,3.954207991033166e-06
5,0,16,2.3556087749914637e-06
5,0,17,1.4390321881156551e-06
5,0,18,1.0698978417433009e-06
5,0,19,7.121865216217555e-07
5,0,20,4.3790235024479625e-08
5,0,21,-8.132970045381243e-07
5,0,22,-1.5129742903705577e-06
5,0,23,-1.94410661774986e-06
5,0,24,-2.335180977988425e-06
5,1,0,2.6740621649986077e-06
5,1,1,5.956611946742786e-06
5,1,2,8.337258019853501e-06
5,1,3,8.858671340149585e-06
5,1,4,8.256841224720196e-06
5,1,5,7.718672828980501e-06
5,1,6,8.03370288087916e-06
5,1,7,8.979629044117464e-06
