level_0,level_1,level_2,correct_data
0,2,23,-1.5680428129515468e-05
0,2,24,-2.064427566277646e-05
1,0,0,-4.796128340403598e-06
1,0,1,-7.818138081431582e-06
1,0,2,-9.283847750436107e-06
1,0,3,-8.4773522202276e-06
1,0,4,-6.326745736857811e-06
1,0,5,-4.338657955563186e-06
1,0,6,-3.117708230166073e-06
1,0,7,-2.240226637426415e-06
1,0,8,-9.338794509864608e-07
1,0,9,8.608836779828543e-07
1,0,10,2.4634739387343474e-06
1,0,11,2.9886920392225235e-06
1,0,12,2.242291372329147e-06
1,0,13,7.735860096312836e-07
1,0,14,-3.8826793239548507e-07
1,0,15,-5.490593675820387e-07
1,0,16,4.2854640652995315e-07
1,0,17,1.9706722307887443e-06
1,0,18,3.3728371411239667e-06
1,0,19,4.079978741034548e-06
1,0,20,4.112057347239849e-06
1,0,21,3.7534264824863736e-06
1,0,22,3.4003235266126465e-06
1,0,23,3.033699476604062e-06
1,0,24,2.4645586021318445e-06
1,1,0,1.6125521746471845e-05
1,1,1,1.7347527577132394e-05
1,1,2,1.4650965968068179e-05
1,1,3,9.826946335128638e-06
1,1,4,4.997702564544268e-06
1,1,5,1.9105009699175275e-06
1,1,6,1.5501766260041163e-06
1,1,7,3.6237994748920116e-06
1,1,8,6.330307318163026e-06
1,1,9,7.146609384190057e-06
1,1,10,4.647768652056621e-06
1,1,11,4.592306834402147e-08
1,1,12,-3.2392600160820032e-06
1,1,13,-2.1660546149074783e-06
1,1,14,3.281149887478349e-06
1,1,15,9.738282969512535e-06
1,1,16,1.3135440726920076e-05
1,1,17,1.2000657622246555e-05
1,1,18,8.589228073766126e-06
1,1,19,6.6739246079537944e-06
1,1,20,8.278817527425548e-06
1,1,21,1.2238360250660927e-05
1,1,22,1.588755136281328e-05
1,1,23,1.7705414475208733e-05
1,1,24,1.8391765753522746e-05
1,2,0,-1.0177010851057406e-05
1,2,1,-1.185262025882669e-05
1,2,2,-1.3151500220805407e-05
1,2,3,-1.335785074739308e-05
1,2,4,-1.2313036315151097e-05
1,2,5,-1.0623994034234343e-05
1,2,6,-8.872719759320388e-06
1,2,7,-7.2421754508975944e-06
1,2,8,-5.3726774131300275e-06
1,2,9,-3.1762327599057214e-06
1,2,10,-1.1600224015690462e-06
1,2,11,-3.9669462830665424e-07
1,2,12,-1.449997602100448e-06
1,2,13,-3.915510446087612e-06
1,2,14,-6.410943847219553e-06
1,2,15,-7.782492436952775e-06
1,2,16,-7.668686999426214e-06
1,2,17,-6.73757104813227e-06
1,2,18,-5.666629015506304e-06
1,2,19,-4.8164904718881905e-06
1,2,20,-4.067217438784873e-06
1,2,21,-3.6257046844216754e-06
1,2,22,-3.885229729035566e-06
1,2,23,-5.263110220976884e-06
1,2,24,-7.312978523092023e-06
2,0,0,-1.2259821415559519e-06
2,0,1,-2.6132280643788617e-06
2,0,2,-4.308886919349609e-06
2,0,3,-5.0519433741747334e-06
2,0,4,-4.4589975669225305e-06
2,0,5,-3.2290725838766997e-06
2,0,6,-2.560219620087662e-06
2,0,7,-2.962559345668134e-06
2,0,8,-3.867443650382662e-06
2,0,9,-4.0676710947488775e-06
2,0,10,-2.951874965550377e-06
2,0,11,-1.0077012270905258e-06
2,0,12,4.6474593329039386e-07
2,0,13,5.36217165777436e-07
2,0,14,-7.889543784824385e-07
2,0,15,-2.625955533425126e-06
2,0,16,-4.208905437698109e-06
2,0,17,-5.362414310964409e-06
2,0,18,-6.528270120688081e-06
2,0,19,-7.989643318889934e-06
2,0,20,-9.586303492198562e-06
2,0,21,-1.0690398789985458e-05
2,0,22,-1.0897528571645221e-05
2,0,23,-1.022324592440569e-05
2,0,24,-9.264286338098887e-06
2,1,0,1.3616100680416084e-05
2,1,1,1.1644773067735477e-05
2,1,2,6.4781736965764105e-06
2,1,3,-4.779386998330188e-07
2,1,4,-7.576737083706811e-06
2,1,5,-1.3201155721879088e-05
2,1,6,-1.6093020043324974e-05
2,1,7,-1.536273653228188e-05
2,1,8,-1.1056686508848315e-05
2,1,9,-4.460093689953441e-06
2,1,10,1.810614985211137e-06
2,1,11,5.1585492515347775e-06
2,1,12,4.554617475717215e-06
2,1,13,1.5472322278127217e-06
2,1,14,-1.0536406237068584e-06
2,1,15,-1.3546839201764133e-06
2,1,16,-2.1893500032732026e-07
2,1,17,-2.2607444289315355e-07
2,1,18,-3.1896769107876623e-06
2,1,19,-7.930551628245808e-06
2,1,20,-1.1222893393893066e-05
2,1,21,-1.049461440920255e-05
2,1,22,-6.5027693440619e-06
2,1,23,-2.622162940462219e-06
2,1,24,-2.1328222237063153e-06
2,2,0,1.4599517671011648e-05
2,2,1,1.299063170594173e-05
2,2,2,1.0812853886052649e-05
2,2,3,9.282888779208267e-06
2,2,4,9.105019261529954e-06
2,2,5,1.0032909780765468e-05
2,2,6,1.1756359338156643e-05
2,2,7,1.3912384954838227e-05
2,2,8,1.6418833064568532e-05
2,2,9,1.872833846104649e-05
2,2,10,2.0262525078561526e-05
2,2,11,2.0460431128616345e-05
2,2,12,1.9772883682852736e-05
2,2,13,1.9036910372870566e-05
2,2,14,1.9138407072717798e-05
2,2,15,1.9715541860040897e-05
2,2,16,1.9781486775263942e-05
