level_0,level_1,level_2,incorr2_data
0,0,0,-5.828327353348244e-06
0,0,1,-7.239625227715822e-06
0,0,2,-8.773701978269247e-06
0,0,3,-1.004696402070245e-05
0,0,4,-1.0195932706710809e-05
0,0,5,-8.454463512423834e-06
0,0,6,-5.103236329533886e-06
0,0,7,-1.6149239185860216e-06
0,0,8,1.6886146137642403e-07
0,0,9,-5.085412870648182e-07
0,0,10,-2.810442170854261e-06
0,0,11,-4.9659280933717716e-06
0,0,12,-5.774908726940433e-06
0,0,13,-5.324586606764593e-06
0,0,14,-4.685853197564045e-06
0,0,15,-4.703761148508803e-06
0,0,16,-5.380262962853728e-06
0,0,17,-5.993514149120287e-06
0,0,18,-6.041624964369459e-06
0,0,19,-5.623549161224426e-06
0,0,20,-5.317049805957634e-06
0,0,21,-5.455325016901082e-06
0,0,22,-5.901594428625432e-06
0,0,23,-6.155196843653124e-06
0,0,24,-5.964476893243034e-06
0,1,0,-1.963447386669142e-06
0,1,1,1.82268629929503e-07
0,1,2,3.4807250422347336e-06
0,1,3,6.531415517211563e-06
0,1,4,8.230854414118145e-06
0,1,5,8.770849802841986e-06
0,1,6,9.368249587614081e-06
0,1,7,1.1381398677688442e-05
0,1,8,1.506325374684488e-05
0,1,9,1.9287786850337484e-05
0,1,10,2.18459932129233e-05
0,1,11,2.0715660083992925e-05
0,1,12,1.5267152275680036e-05
0,1,13,7.303628917418477e-06
0,1,14,3.861024709530309e-07
0,1,15,-1.916279171742933e-06
0,1,16,1.3790421895412027e-06
0,1,17,7.951276466222873e-06
0,1,18,1.3490446345738264e-05
0,1,19,1.4998213960762527e-05
0,1,20,1.2670888288630368e-05
0,1,21,9.46434097846919e-06
0,1,22,8.040855874916252e-06
0,1,23,8.678906435484533e-06
0,1,24,9.31942427331655e-06
0,2,0,-7.052371907362667e-06
0,2,1,-9.807922616067118e-06
0,2,2,-1.0606798763348514e-05
0,2,3,-9.029903729193339e-06
0,2,4,-6.1856787409361996e-06
0,2,5,-3.6070174784048263e-06
0,2,6,-2.0593521492086667e-06
0,2,7,-1.3694531139091118e-06
0,2,8,-1.248046574299219e-06
0,2,9,-1.8239378094980535e-06
0,2,10,-3.351598984329573e-06
0,2,11,-5.394741391125937e-06
0,2,12,-6.76025821190712e-06
0,2,13,-6.384804241505327e-06
0,2,14,-4.480751225321571e-06
0,2,15,-2.534196429696998e-06
0,2,16,-2.0872774568469625e-06
0,2,17,-3.296298067658924e-06
0,2,18,-4.846975643352241e-06
0,2,19,-5.130045323358592e-06
0,2,20,-3.759848970368116e-06
0,2,21,-1.8576425922543565e-06
0,2,22,-1.0092245397892244e-06
0,2,23,-1.7669179478154394e-06
0,2,24,-3.220838382522029e-06
1,0,0,7.57148675261418e-06
1,0,1,4.937742852143836e-06
1,0,2,2.0723307752205682e-07
1,0,3,-3.837982569968067e-06
1,0,4,-5.437049630091333e-06
1,0,5,-4.683188014250255e-06
1,0,6,-3.255263848890756e-06
1,0,7,-2.7690361506464684e-06
1,0,8,-3.6687212378713665e-06
1,0,9,-4.788010918170375e-06
1,0,10,-4.5588458985477065e-06
1,0,11,-2.2223670716005122e-06
1,0,12,1.1521423574565234e-06
1,0,13,3.515417172453994e-06
1,0,14,3.1422936913107506e-06
1,0,15,2.2929421334698085e-07
1,0,16,-3.332182727348919e-06
1,0,17,-5.12133272778366e-06
1,0,18,-4.248548493349715e-06
1,0,19,-1.7489526987036157e-06
1,0,20,1.0282983720095583e-07
1,0,21,-8.847287194797856e-08
1,0,22,-2.0638816147899305e-06
1,0,23,-4.133847021629616e-06
1,0,24,-5.1171930716373845e-06
1,1,0,7.844948530447832e-06
1,1,1,1.5192598447279606e-05
1,1,2,1.653500973671689e-05
1,1,3,1.1798213557360148e-05
1,1,4,4.361503371418503e-06
1,1,5,-2.236098440913553e-06
1,1,6,-6.674360437821378e-06
1,1,7,-9.541039759206245e-06
1,1,8,-1.113331180241237e-05
1,1,9,-1.05120032205638e-05
1,1,10,-6.653284898682085e-06
1,1,11,-5.107293039762124e-07
1,1,12,4.937411796067457e-06
1,1,13,6.854097693847084e-06
1,1,14,4.9616214539957625e-06
1,1,15,1.4963414510166858e-06
1,1,16,-1.00220787900996e-06
1,1,17,-1.9614197591507953e-06
1,1,18,-2.5541098164890487e-06
1,1,19,-3.7334110503872632e-06
1,1,20,-4.79459202193047e-06
1,1,21,-4.428325767142895e-06
1,1,22,-2.8513683416502483e-06
1,1,23,-2.5596311770068465e-06
1,1,24,-6.187384225426378e-06
1,2,0,6.029688755725528e-06
1,2,1,5.389306978302924e-06
1,2,2,3.6511497999712787e-06
1,2,3,1.4655489612883264e-06
1,2,4,-7.475439756469862e-09
1,2,5,1.2991556468799588e-08
1,2,6,1.3147288168879792e-06
1,2,7,2.9145134683416363e-06
1,2,8,4.091651196211035e-06
1,2,9,5.044670326835219e-06
1,2,10,6.65975977345943e-06
1,2,11,9.389583423252527e-06
1,2,12,1.255670086332337e-05
1,2,13,1.4693670019133684e-05
1,2,14,1.4820853760124796e-05
1,2,15,1.3259127642629705e-05
1,2,16,1.1373175390270356e-05
1,2,17,1.0236943642414264e-05
1,2,18,9.736800129328668e-06
1,2,19,8.771109554532683e-06
1,2,20,6.564234452115139e-06
1,2,21,3.6154630463313385e-06
1,2,22,1.5982885326469467e-06
1,2,23,1.966778683912436e-06
1,2,24,4.670078193625668e-06
2,0,0,-3.3247623418655216e-06
2,0,1,-3.331581733241032e-06
2,0,2,-2.7283790083872746e-06
2,0,3,-2.11829832069834e-06
2,0,4,-2.175706718523341e-06
2,0,5,-3.0234278251881194e-06
2,0,6,-3.896885085711405e-06
2,0,7,-3.4392626333545906e-06
