level_0,level_1,level_2,correct_data
1,0,5,-1.4099216997239244e-05
1,0,6,-1.4170834249102831e-05
1,0,7,-1.3754837187079146e-05
1,0,8,-1.2889842229185135e-05
1,0,9,-1.2130308640501402e-05
1,0,10,-1.2071905983053607e-05
1,0,11,-1.2587115821795399e-05
1,0,12,-1.2973808236495525e-05
1,0,13,-1.2562189845829303e-05
1,0,14,-1.1527064806486512e-05
1,0,15,-1.0613726202696205e-05
1,0,16,-1.0405935036479456e-05
1,0,17,-1.0494534373667601e-05
1,0,18,-9.93111185626852e-06
1,0,19,-8.154771179404424e-06
1,0,20,-5.911723653168955e-06
1,0,21,-4.644637807448584e-06
1,0,22,-5.371835584821522e-06
1,0,23,-7.634575126835332e-06
1,0,24,-1.0043634542448586e-05
1,1,0,1.5243583993424978e-05
1,1,1,1.745899815982577e-05
1,1,2,1.6320790989447992e-05
1,1,3,1.2841006000951019e-05
1,1,4,8.601352729715073e-06
1,1,5,5.284147197540248e-06
1,1,6,4.318800775544542e-06
1,1,7,6.00308021453608e-06
1,1,8,8.88198787426744e-06
1,1,9,1.0242151045356332e-05
1,1,10,8.17136691137391e-06
1,1,11,3.5035140694177004e-06
1,1,12,-2.396093840850518e-07
1,1,13,4.097326897982023e-07
1,1,14,5.857375523162081e-06
1,1,15,1.2716208774092921e-05
1,1,16,1.661679004632741e-05
1,1,17,1.580546546297841e-05
1,1,18,1.2541655637944571e-05
1,1,19,1.0747714419349495e-05
1,1,20,1.2553614402057442e-05
1,1,21,1.6702643437071043e-05
1,1,22,2.0427313879446143e-05
1,1,23,2.2191122446728827e-05
1,1,24,2.279256766399469e-05
2,0,0,-2.700826047885433e-06
2,0,1,-2.421817989378783e-06
2,0,2,-2.506081037663199e-06
2,0,3,-3.124289697724054e-06
2,0,4,-3.97673872171698e-06
2,0,5,-4.572836473854615e-06
2,0,6,-4.731384685800554e-06
2,0,7,-4.616112415197117e-06
2,0,8,-4.643590433334416e-06
2,0,9,-5.044349457099652e-06
2,0,10,-5.796879208879607e-06
2,0,11,-6.581013538219235e-06
2,0,12,-7.1171483037754625e-06
2,0,13,-7.193599701949948e-06
2,0,14,-6.814274194443957e-06
2,0,15,-6.017281792616944e-06
2,0,16,-5.014654454644276e-06
2,0,17,-4.099863205894651e-06
2,0,18,-3.790578614011646e-06
2,0,19,-4.477414834907871e-06
2,0,20,-6.202529131425977e-06
2,0,21,-8.21596853221347e-06
2,0,22,-9.317063952631337e-06
2,0,23,-8.422258668352046e-06
2,0,24,-5.5962537696259646e-06
2,1,0,9.743080008439047e-06
2,1,1,9.973409181297333e-06
2,1,2,6.760076312964055e-06
2,1,3,4.108361342615709e-07
2,1,4,-7.126734378074993e-06
2,1,5,-1.3074618085933743e-05
2,1,6,-1.5556199882551277e-05
2,1,7,-1.4235126066731302e-05
2,1,8,-1.0232491483883803e-05
2,1,9,-5.121302168761225e-06
2,1,10,-6.302475506581465e-07
2,1,11,1.871538216312985e-06
2,1,12,1.6103527981467958e-06
2,1,13,-7.534961808644596e-07
2,1,14,-3.432925637976089e-06
2,1,15,-4.448524189578729e-06
2,1,16,-3.5516609006575994e-06
